Image,BlockSize,Mode,PSNR,Bhattacharyya,Chi2,Time(min:sec)
street.pgm,32,2,12.19,0.00600522,0.0235017,0:7
cake.pgm,32,0,12.3469,0.160904,0.408869,0:10
cake.pgm,32,1,14.625,0.00603934,0.0233963,0:10
cake.pgm,32,2,14.3098,0.00599365,0.023059,0:10
airport.pgm,32,0,11.7452,0.0887558,0.271912,0:7
airport.pgm,32,1,13.5109,0.0102047,0.0379658,0:7
airport.pgm,32,2,13.3971,0.010099,0.0374531,0:7
teach.pgm,32,0,13.2369,0.0875474,0.243255,0:33
teach.pgm,32,1,13.7915,0.00665748,0.0260839,0:38
teach.pgm,32,2,13.6934,0.00631108,0.0247138,0:39
chat2.pgm,32,0,12.8492,0.141268,0.345438,0:37
chat2.pgm,32,1,14.141,0.0117516,0.0454471,0:43
chat2.pgm,32,2,14.0239,0.0114934,0.0444644,0:43
ski.pgm,32,0,12.4459,0.352887,0.789156,0:6
ski.pgm,32,1,12.395,0.0447317,0.155071,0:7
ski.pgm,32,2,11.9994,0.0473694,0.160828,0:8
groot.pgm,32,0,12.3136,0.11741,0.285474,0:32
groot.pgm,32,1,15.0546,0.00958365,0.0270667,0:36
groot.pgm,32,2,14.871,0.0103888,0.0282765,0:37
chat.pgm,32,0,13.0188,0.163945,0.429551,0:10
chat.pgm,32,1,15.1236,0.0102431,0.0359138,0:13
chat.pgm,32,2,14.9235,0.0103857,0.0363812,0:12
oiseau.pgm,32,0,12.2673,0.103778,0.307973,0:6
oiseau.pgm,32,1,15.3105,0.00506675,0.0194665,0:7
oiseau.pgm,32,2,15.225,0.00475402,0.0181437,0:9
papa noel.pgm,32,0,11.1626,0.0441414,0.14574,0:8
papa noel.pgm,32,1,11.4541,0.00421104,0.0166134,0:9
papa noel.pgm,32,2,11.4413,0.00379226,0.0149817,0:11
katchao.pgm,64,0,11.9565,0.0330184,0.112433,0:4
katchao.pgm,64,1,11.7356,0.00632026,0.0246806,0:7
katchao.pgm,64,2,11.5983,0.00590197,0.0230896,0:7
ferrari.pgm,64,0,14.2493,0.135794,0.418344,0:4
ferrari.pgm,64,1,11.0537,0.0361131,0.134675,0:10
ferrari.pgm,64,2,10.8226,0.0367195,0.136235,0:8
wpuech.pgm,64,0,11.4184,0.0338597,0.117334,0:7
wpuech.pgm,64,1,13.3416,0.00124914,0.00496047,0:14
wpuech.pgm,64,2,13.256,0.00119841,0.00475431,0:13
glorp.pgm,64,0,11.5556,0.131513,0.353394,0:1
glorp.pgm,64,1,15.0247,0.0331356,0.117388,0:2
glorp.pgm,64,2,14.8616,0.0351178,0.12071,0:2
